Eliminacje juniorów młodszych 20-20.11.2014 r.,,,,,,,
,,,,,,,
Lp,Nazwisko ,Imię ,Klub,,,,
,,,,Pełne,Zbier.,X,Razem
1.,Gierszewski,Marek,MLKS Tucholanka Tuchola,380,214,1,594
2.,Nowacki,Aleksander,MLKS Tucholanka Tuchola,381,189,4,570
3.,Rybiński,Alan,KS Polonia 1912 Leszno,375,191,5,566
4.,Kozłowski,Maciej,OSiR Vector Tarnowo Podg.,341,209,3,550
5.,Ratajczak,Tymoteusz,KK Dziewiątka-Amica Wronki,365,176,1,541
6.,Michalak,Kacper,KS Start Gostyń,358,171,3,529
7.,Klecha,Mateusz,KS Polonia 1912 Leszno,363,165,8,528
8.,Łuczak,Dawid,MLKS Tucholanka Tuchola,354,173,8,527
9.,Klimek,Szymon,KS Pilica Tomaszów Maz.,362,164,7,526
10.,Kaliski,Szymon,KS Polonia 1912 Leszno,360,165,11,525
11.,Michalak,Jędrzej,KS Start Gostyń,342,182,3,524
12.,Osiński,Paweł,KS Pilica Tomaszów Maz.,355,166,5,521
13.,Stara,David,SKK Primator Nachod,362,159,8,521
14.,Palacz,Kamil,KK Dziewiątka-Amica Wronki,365,155,4,520
15.,Macioł,Paweł,KS Polonia Łaziska Górne,348,169,6,517
16.,Kuchnowski,Kacper,KS Zatoka Puck,358,159,11,517
17.,Ruszczyk,Bartosz,KK Dziewiątka-Amica Wronki,346,166,3,512
18.,Zagata ,Krzysztof,SGLK Gostyń,353,159,10,512
19.,Sawala,Mateusz,KK Dziewiątka-Amica Wronki,356,154,7,510
20.,Lukaszewski,Patryk,KS Start Gostyń,357,151,7,508
21.,Kosowicz,Mikołaj,KS Start Gostyń,360,146,11,506
22.,Świniarski,Radosław,KK Dziewiątka-Amica Wronki,335,167,7,502
23.,Frąckowiak,Rafał,KS Start Gostyń,331,167,7,498
24.,Nowak,Jędrzej,KS Start Gostyń,361,136,7,497
25.,Nowak,Patryk,KS Czarna Kula Poznań,359,131,8,490
26.,Mrowiec,Patryk,OSiR Vector Tarnowo Podg.,342,147,7,489
27.,Kasprzak,Łukasz,OSiR Vector Tarnowo Podg.,332,156,5,488
28.,Kląskała,Mateusz,KK Dziewiątka-Amica Wronki,337,151,6,488
29.,Hejzlar,Antonin,SKK Primator Nachod,350,137,5,487
30.,Bacza,Krzysztof,KS Polonia Łaziska Górne,327,159,5,486
31.,Nowak,Dawid,KS Czarna Kula Poznań,358,127,15,485
32.,Borowski,Szymon,UKS Kormoran Sieraków,342,141,12,483
33.,Skorczyk,Patryk,OSiR Vector Tarnowo Podg.,356,125,6,481
34.,Cwojdziński,Tomasz,KS Alfa Vector Tarnowo Podg.,323,155,6,478
35.,Radzi,Mateusz,KK Dziewiątka-Amica Wronki,337,139,11,476
36.,Piotrowski,Wojciech,UKS Kormoran Sieraków,338,131,13,469
37.,Wysiński,Łukasz,MLKS Tucholanka Tuchola,331,131,10,462
38.,Tomaszewski,Michał,KS Polonia 1912 Leszno,312,135,16,447
39.,Gromadecki,Mateusz,OSiR Vector Tarnowo Podg.,305,141,14,446
40.,Mazur,Wiktor,OSiR Vector Tarnowo Podg.,307,127,13,434
41.,Henschel,Gracjan,KS Czarna Kula Poznań,304,110,20,414
42.,Szczechura,Radosław,MLKS Tucholanka Tuchola,284,122,17,406
