Eliminacje młodzików 19-21.11.2015 r.,,,,,,,
,,,,,,,
Lp,Nazwisko ,Imię ,Klub,,,,
,,,,Pełne,Zbier.,X,Razem
1.,Cwojdziński ,Jakub,KS Alfa Vector Tarnowo Podg.,346,169,7,515
2.,Kuryło,Jakub,BOSiR Brzesko,334,158,7,492
3.,Bacza ,Łukasz,KS Polonia Łaziska Górne,339,141,11,480
4.,Nowicki,Dominik,KK Dziewiątka-Amica Wronki,340,135,15,475
5.,Grzywaczewski,Mateusz,KK Dziewiątka-Amica Wronki,333,141,16,474
6.,Gołębiewski,Jerzy,KS Zatoka Puck,342,131,15,473
7.,Hejna,František,SKK Primator Nachod,332,140,15,472
8.,Łazowski,Tadeusz,BOSiR Brzesko,343,128,14,471
9.,Kube,Karol,KS Polonia 1912 Leszno,339,131,16,470
10.,Hofman ,Denis,SKK Primator Nachod,314,152,7,466
11.,Skalski,Filip,KS Pilica Tomaszów Maz.,335,124,14,459
12.,Kraczewski,Mateusz,KS Polonia 1912 Leszno,320,133,14,453
13.,Klemenski,Jan,KK Dziewiątka-Amica Wronki,333,120,15,453
14.,Łochowicz,Filip,KS Polonia 1912 Leszno,319,128,14,447
15.,Kląskała,Jakub,KK Dziewiątka-Amica Wronki,317,128,13,445
16.,Rostankowski ,Patryk,MLKS Tucholanka Tuchola,334,110,18,444
17.,Dykier,Dominik,KS Polonia 1912 Leszno,312,131,20,443
18.,Piasta,Borys,KS Czarna Kula Poznań,313,125,17,438
19.,Szczepski,Mikołaj,KK Dziewiątka-Amica Wronki,327,111,17,438
20.,Bartkowiak,Krzysztof,OSiR Vector Tarnowo Podg.,328,103,25,431
21.,Kulesza,Aleksander,MLKS Tucholanka Tuchola,303,128,14,431
22.,Byliński,Marcin,OSiR Vector Tarnowo Podg.,292,136,9,428
23.,Adamski,Dawid,KS Pilica Tomaszów Maz.,325,103,17,428
24.,Piwowarczyk,Wiktor,KS Pilica Tomaszów Maz.,305,119,16,424
25.,Kozłowski,Bartosz,KK Dziewiątka-Amica Wronki,320,101,20,421
26.,Dziamski,Artur,OSiR Vector Tarnowo Podg.,306,102,16,408
27.,Sowik,Igor,KS Pilica Tomaszów Maz.,307,100,25,407
28.,Płóciniczak,Filip,KS Polonia 1912 Leszno,287,118,22,405
29.,Grzegorski,Antoni,KS Czarna Kula Poznań,278,95,23,373
30.,Muzolf,Norbert,MLKS Tucholanka Tuchola,277,94,28,371
31.,Kubiak,Mikołaj,OSiR Vector Tarnowo Podg.,274,94,25,368
32.,Dworczyk,Patryk,OSiR Vector Tarnowo Podg.,234,74,30,308
